Rainfall - (MM), Year, Statistics, Country, ISO3
266.509, 1997, Nov Average, Equatorial Guinea, GNQ
155.328, 1997, Dec Average, Equatorial Guinea, GNQ
91.4028, 1998, Jan Average, Equatorial Guinea, GNQ
83.1347, 1998, Feb Average, Equatorial Guinea, GNQ
114.382, 1998, Mar Average, Equatorial Guinea, GNQ
220.121, 1998, Apr Average, Equatorial Guinea, GNQ
207.163, 1998, May Average, Equatorial Guinea, GNQ
389.375, 1998, Jun Average, Equatorial Guinea, GNQ
27.5406, 1998, Jul Average, Equatorial Guinea, GNQ
147.986, 1998, Aug Average, Equatorial Guinea, GNQ
409.652, 1998, Sep Average, Equatorial Guinea, GNQ
370.393, 1998, Oct Average, Equatorial Guinea, GNQ
249.891, 1998, Nov Average, Equatorial Guinea, GNQ
164.244, 1998, Dec Average, Equatorial Guinea, GNQ
155.323, 1999, Jan Average, Equatorial Guinea, GNQ
174.932, 1999, Feb Average, Equatorial Guinea, GNQ
188.12, 1999, Mar Average, Equatorial Guinea, GNQ
206.139, 1999, Apr Average, Equatorial Guinea, GNQ
269.034, 1999, May Average, Equatorial Guinea, GNQ
118.956, 1999, Jun Average, Equatorial Guinea, GNQ
68.7559, 1999, Jul Average, Equatorial Guinea, GNQ
205.41, 1999, Aug Average, Equatorial Guinea, GNQ
297.05, 1999, Sep Average, Equatorial Guinea, GNQ
449.108, 1999, Oct Average, Equatorial Guinea, GNQ
233.15, 1999, Nov Average, Equatorial Guinea, GNQ
62.1807, 1999, Dec Average, Equatorial Guinea, GNQ
108.064, 2000, Jan Average, Equatorial Guinea, GNQ
98.7446, 2000, Feb Average, Equatorial Guinea, GNQ
244.695, 2000, Mar Average, Equatorial Guinea, GNQ
186.204, 2000, Apr Average, Equatorial Guinea, GNQ
191.114, 2000, May Average, Equatorial Guinea, GNQ
115.971, 2000, Jun Average, Equatorial Guinea, GNQ
106.026, 2000, Jul Average, Equatorial Guinea, GNQ
70.2899, 2000, Aug Average, Equatorial Guinea, GNQ
240.04, 2000, Sep Average, Equatorial Guinea, GNQ
385.432, 2000, Oct Average, Equatorial Guinea, GNQ
354.433, 2000, Nov Average, Equatorial Guinea, GNQ
125.398, 2000, Dec Average, Equatorial Guinea, GNQ
83.6719, 2001, Jan Average, Equatorial Guinea, GNQ
88.7248, 2001, Feb Average, Equatorial Guinea, GNQ
200.517, 2001, Mar Average, Equatorial Guinea, GNQ
220.718, 2001, Apr Average, Equatorial Guinea, GNQ
549.13, 2001, May Average, Equatorial Guinea, GNQ
326.131, 2001, Jun Average, Equatorial Guinea, GNQ
227.64, 2001, Jul Average, Equatorial Guinea, GNQ
7.39838, 2001, Aug Average, Equatorial Guinea, GNQ
92.1376, 2001, Sep Average, Equatorial Guinea, GNQ
429.197, 2001, Oct Average, Equatorial Guinea, GNQ
144.534, 2001, Nov Average, Equatorial Guinea, GNQ
66.7188, 2001, Dec Average, Equatorial Guinea, GNQ
70.8716, 2002, Jan Average, Equatorial Guinea, GNQ
223.17, 2002, Feb Average, Equatorial Guinea, GNQ
233.398, 2002, Mar Average, Equatorial Guinea, GNQ
336.426, 2002, Apr Average, Equatorial Guinea, GNQ
318.505, 2002, May Average, Equatorial Guinea, GNQ
103.351, 2002, Jun Average, Equatorial Guinea, GNQ
79.1508, 2002, Jul Average, Equatorial Guinea, GNQ
129.071, 2002, Aug Average, Equatorial Guinea, GNQ
365.143, 2002, Sep Average, Equatorial Guinea, GNQ
373.557, 2002, Oct Average, Equatorial Guinea, GNQ
251.211, 2002, Nov Average, Equatorial Guinea, GNQ
85.9652, 2002, Dec Average, Equatorial Guinea, GNQ
168.463, 2003, Jan Average, Equatorial Guinea, GNQ
131.452, 2003, Feb Average, Equatorial Guinea, GNQ
199.608, 2003, Mar Average, Equatorial Guinea, GNQ
157.64, 2003, Apr Average, Equatorial Guinea, GNQ
114.828, 2003, May Average, Equatorial Guinea, GNQ
258.121, 2003, Jun Average, Equatorial Guinea, GNQ
78.785, 2003, Jul Average, Equatorial Guinea, GNQ
92.1606, 2003, Aug Average, Equatorial Guinea, GNQ
518.918, 2003, Sep Average, Equatorial Guinea, GNQ
299.239, 2003, Oct Average, Equatorial Guinea, GNQ
267.868, 2003, Nov Average, Equatorial Guinea, GNQ
117.587, 2003, Dec Average, Equatorial Guinea, GNQ
126.526, 2004, Jan Average, Equatorial Guinea, GNQ
138.688, 2004, Feb Average, Equatorial Guinea, GNQ
151.326, 2004, Mar Average, Equatorial Guinea, GNQ
217.005, 2004, Apr Average, Equatorial Guinea, GNQ
171.749, 2004, May Average, Equatorial Guinea, GNQ
97.5164, 2004, Jun Average, Equatorial Guinea, GNQ
64.1807, 2004, Jul Average, Equatorial Guinea, GNQ
149.936, 2004, Aug Average, Equatorial Guinea, GNQ
346.437, 2004, Sep Average, Equatorial Guinea, GNQ
443.167, 2004, Oct Average, Equatorial Guinea, GNQ
246.202, 2004, Nov Average, Equatorial Guinea, GNQ
151.352, 2004, Dec Average, Equatorial Guinea, GNQ
95.8084, 2005, Jan Average, Equatorial Guinea, GNQ
138.329, 2005, Feb Average, Equatorial Guinea, GNQ
232.933, 2005, Mar Average, Equatorial Guinea, GNQ
150.298, 2005, Apr Average, Equatorial Guinea, GNQ
82.4525, 2005, May Average, Equatorial Guinea, GNQ
48.5479, 2005, Jun Average, Equatorial Guinea, GNQ
14.8522, 2005, Jul Average, Equatorial Guinea, GNQ
50.5141, 2005, Aug Average, Equatorial Guinea, GNQ
189.947, 2005, Sep Average, Equatorial Guinea, GNQ
314.856, 2005, Oct Average, Equatorial Guinea, GNQ
262.012, 2005, Nov Average, Equatorial Guinea, GNQ
130.87, 2005, Dec Average, Equatorial Guinea, GNQ
100.654, 2006, Jan Average, Equatorial Guinea, GNQ
106.28, 2006, Feb Average, Equatorial Guinea, GNQ
155.099, 2006, Mar Average, Equatorial Guinea, GNQ
201.638, 2006, Apr Average, Equatorial Guinea, GNQ
90.0469, 2006, May Average, Equatorial Guinea, GNQ
120.82, 2006, Jun Average, Equatorial Guinea, GNQ
50.0094, 2006, Jul Average, Equatorial Guinea, GNQ
31.0261, 2006, Aug Average, Equatorial Guinea, GNQ
305.621, 2006, Sep Average, Equatorial Guinea, GNQ
332.596, 2006, Oct Average, Equatorial Guinea, GNQ
299.64, 2006, Nov Average, Equatorial Guinea, GNQ
136.037, 2006, Dec Average, Equatorial Guinea, GNQ
42.8362, 2007, Jan Average, Equatorial Guinea, GNQ
110.805, 2007, Feb Average, Equatorial Guinea, GNQ
177.1, 2007, Mar Average, Equatorial Guinea, GNQ
187.751, 2007, Apr Average, Equatorial Guinea, GNQ
699.216, 2007, May Average, Equatorial Guinea, GNQ
210.956, 2007, Jun Average, Equatorial Guinea, GNQ
132.664, 2007, Jul Average, Equatorial Guinea, GNQ
72.8575, 2007, Aug Average, Equatorial Guinea, GNQ
712.336, 2007, Sep Average, Equatorial Guinea, GNQ
394.517, 2007, Oct Average, Equatorial Guinea, GNQ
264.791, 2007, Nov Average, Equatorial Guinea, GNQ
276.409, 2007, Dec Average, Equatorial Guinea, GNQ
129.797, 2008, Jan Average, Equatorial Guinea, GNQ
86.2687, 2008, Feb Average, Equatorial Guinea, GNQ
174.194, 2008, Mar Average, Equatorial Guinea, GNQ
148.089, 2008, Apr Average, Equatorial Guinea, GNQ
308.365, 2008, May Average, Equatorial Guinea, GNQ
3.95456, 2008, Jun Average, Equatorial Guinea, GNQ
3.77355, 2008, Jul Average, Equatorial Guinea, GNQ
143.918, 2008, Aug Average, Equatorial Guinea, GNQ
408.885, 2008, Sep Average, Equatorial Guinea, GNQ
639.46, 2008, Oct Average, Equatorial Guinea, GNQ
150.309, 2008, Nov Average, Equatorial Guinea, GNQ
123.894, 2008, Dec Average, Equatorial Guinea, GNQ
88.3861, 2009, Jan Average, Equatorial Guinea, GNQ
175.602, 2009, Feb Average, Equatorial Guinea, GNQ
239.18, 2009, Mar Average, Equatorial Guinea, GNQ
181.7, 2009, Apr Average, Equatorial Guinea, GNQ
402.528, 2009, May Average, Equatorial Guinea, GNQ
102.928, 2009, Jun Average, Equatorial Guinea, GNQ
8.49955, 2009, Jul Average, Equatorial Guinea, GNQ
51.3873, 2009, Aug Average, Equatorial Guinea, GNQ
67.7832, 2009, Sep Average, Equatorial Guinea, GNQ
417.936, 2009, Oct Average, Equatorial Guinea, GNQ
224.181, 2009, Nov Average, Equatorial Guinea, GNQ
94.1422, 2009, Dec Average, Equatorial Guinea, GNQ
170.027, 2010, Jan Average, Equatorial Guinea, GNQ
169.4, 2010, Feb Average, Equatorial Guinea, GNQ
290.496, 2010, Mar Average, Equatorial Guinea, GNQ
129.012, 2010, Apr Average, Equatorial Guinea, GNQ
22.3945, 2010, May Average, Equatorial Guinea, GNQ
67.8897, 2010, Jun Average, Equatorial Guinea, GNQ
197.8, 2010, Jul Average, Equatorial Guinea, GNQ
38.9331, 2010, Aug Average, Equatorial Guinea, GNQ
127.795, 2010, Sep Average, Equatorial Guinea, GNQ
373.608, 2010, Oct Average, Equatorial Guinea, GNQ
314.032, 2010, Nov Average, Equatorial Guinea, GNQ
87.0052, 2010, Dec Average, Equatorial Guinea, GNQ
104.258, 2011, Jan Average, Equatorial Guinea, GNQ
170.868, 2011, Feb Average, Equatorial Guinea, GNQ
205.43, 2011, Mar Average, Equatorial Guinea, GNQ
218.061, 2011, Apr Average, Equatorial Guinea, GNQ
23.0501, 2011, May Average, Equatorial Guinea, GNQ
52.7963, 2011, Jun Average, Equatorial Guinea, GNQ
26.9816, 2011, Jul Average, Equatorial Guinea, GNQ
60.4651, 2011, Aug Average, Equatorial Guinea, GNQ
226.721, 2011, Sep Average, Equatorial Guinea, GNQ
512.648, 2011, Oct Average, Equatorial Guinea, GNQ
257.114, 2011, Nov Average, Equatorial Guinea, GNQ
60.9324, 2011, Dec Average, Equatorial Guinea, GNQ
103.793, 2012, Jan Average, Equatorial Guinea, GNQ
200.032, 2012, Feb Average, Equatorial Guinea, GNQ
215.122, 2012, Mar Average, Equatorial Guinea, GNQ
163.434, 2012, Apr Average, Equatorial Guinea, GNQ
195.692, 2012, May Average, Equatorial Guinea, GNQ
168.288, 2012, Jun Average, Equatorial Guinea, GNQ
20.0853, 2012, Jul Average, Equatorial Guinea, GNQ
283.51, 2012, Aug Average, Equatorial Guinea, GNQ
262.443, 2012, Sep Average, Equatorial Guinea, GNQ
530.494, 2012, Oct Average, Equatorial Guinea, GNQ
298.209, 2012, Nov Average, Equatorial Guinea, GNQ
149.44, 2012, Dec Average, Equatorial Guinea, GNQ
132.547, 2013, Jan Average, Equatorial Guinea, GNQ
128.393, 2013, Feb Average, Equatorial Guinea, GNQ
267.674, 2013, Mar Average, Equatorial Guinea, GNQ
185.357, 2013, Apr Average, Equatorial Guinea, GNQ
217.056, 2013, May Average, Equatorial Guinea, GNQ
69.8108, 2013, Jun Average, Equatorial Guinea, GNQ
10.4856, 2013, Jul Average, Equatorial Guinea, GNQ
75.9415, 2013, Aug Average, Equatorial Guinea, GNQ
66.8913, 2013, Sep Average, Equatorial Guinea, GNQ
387.401, 2013, Oct Average, Equatorial Guinea, GNQ
234.91, 2013, Nov Average, Equatorial Guinea, GNQ
188.913, 2013, Dec Average, Equatorial Guinea, GNQ
81.1696, 2014, Jan Average, Equatorial Guinea, GNQ
91.3767, 2014, Feb Average, Equatorial Guinea, GNQ
240.04, 2014, Mar Average, Equatorial Guinea, GNQ
277.78, 2014, Apr Average, Equatorial Guinea, GNQ
280.409, 2014, May Average, Equatorial Guinea, GNQ
108.33, 2014, Jun Average, Equatorial Guinea, GNQ
16.2439, 2014, Jul Average, Equatorial Guinea, GNQ
74.5648, 2014, Aug Average, Equatorial Guinea, GNQ
187.856, 2014, Sep Average, Equatorial Guinea, GNQ
289.721, 2014, Oct Average, Equatorial Guinea, GNQ
273.375, 2014, Nov Average, Equatorial Guinea, GNQ
147.066, 2014, Dec Average, Equatorial Guinea, GNQ
64.8025, 2015, Jan Average, Equatorial Guinea, GNQ
139.085, 2015, Feb Average, Equatorial Guinea, GNQ
187.148, 2015, Mar Average, Equatorial Guinea, GNQ
178.438, 2015, Apr Average, Equatorial Guinea, GNQ
164.977, 2015, May Average, Equatorial Guinea, GNQ
134.396, 2015, Jun Average, Equatorial Guinea, GNQ
10.004, 2015, Jul Average, Equatorial Guinea, GNQ
38.6409, 2015, Aug Average, Equatorial Guinea, GNQ
88.4302, 2015, Sep Average, Equatorial Guinea, GNQ
247.821, 2015, Oct Average, Equatorial Guinea, GNQ
197.73, 2015, Nov Average, Equatorial Guinea, GNQ
58.9562, 2015, Dec Average, Equatorial Guinea, GNQ
73.9235, 2016, Jan Average, Equatorial Guinea, GNQ
67.8388, 2016, Feb Average, Equatorial Guinea, GNQ
249.923, 2016, Mar Average, Equatorial Guinea, GNQ
246.772, 2016, Apr Average, Equatorial Guinea, GNQ
197.661, 2016, May Average, Equatorial Guinea, GNQ
156.832, 2016, Jun Average, Equatorial Guinea, GNQ
25.3639, 2016, Jul Average, Equatorial Guinea, GNQ
182.22, 2016, Aug Average, Equatorial Guinea, GNQ
193.99, 2016, Sep Average, Equatorial Guinea, GNQ
279.498, 2016, Oct Average, Equatorial Guinea, GNQ
242.834, 2016, Nov Average, Equatorial Guinea, GNQ
141.685, 2016, Dec Average, Equatorial Guinea, GNQ
34.1028, 1991, Jan Average, Finland, FIN
14.6418, 1991, Feb Average, Finland, FIN
38.1988, 1991, Mar Average, Finland, FIN
16.9867, 1991, Apr Average, Finland, FIN
46.0398, 1991, May Average, Finland, FIN
85.3434, 1991, Jun Average, Finland, FIN
45.3225, 1991, Jul Average, Finland, FIN
66.9114, 1991, Aug Average, Finland, FIN
67.7085, 1991, Sep Average, Finland, FIN
47.623, 1991, Oct Average, Finland, FIN
67.2382, 1991, Nov Average, Finland, FIN
35.044, 1991, Dec Average, Finland, FIN
32.6973, 1992, Jan Average, Finland, FIN
30.1914, 1992, Feb Average, Finland, FIN
40.4262, 1992, Mar Average, Finland, FIN
36.7603, 1992, Apr Average, Finland, FIN
23.2558, 1992, May Average, Finland, FIN
45.6661, 1992, Jun Average, Finland, FIN
89.5172, 1992, Jul Average, Finland, FIN
107.296, 1992, Aug Average, Finland, FIN
69.8341, 1992, Sep Average, Finland, FIN
44.6523, 1992, Oct Average, Finland, FIN
56.3769, 1992, Nov Average, Finland, FIN
42.9363, 1992, Dec Average, Finland, FIN
41.9671, 1993, Jan Average, Finland, FIN
18.4206, 1993, Feb Average, Finland, FIN
33.3114, 1993, Mar Average, Finland, FIN
25.8376, 1993, Apr Average, Finland, FIN
25.5205, 1993, May Average, Finland, FIN
68.0594, 1993, Jun Average, Finland, FIN
75.2247, 1993, Jul Average, Finland, FIN
76.6107, 1993, Aug Average, Finland, FIN
27.0001, 1993, Sep Average, Finland, FIN
54.8098, 1993, Oct Average, Finland, FIN
9.3024, 1993, Nov Average, Finland, FIN
53.2274, 1993, Dec Average, Finland, FIN
45.6327, 1994, Jan Average, Finland, FIN
6.65975, 1994, Feb Average, Finland, FIN
36.4876, 1994, Mar Average, Finland, FIN
35.9254, 1994, Apr Average, Finland, FIN
27.6812, 1994, May Average, Finland, FIN
59.9555, 1994, Jun Average, Finland, FIN
31.047, 1994, Jul Average, Finland, FIN
45.8692, 1994, Aug Average, Finland, FIN
71.4508, 1994, Sep Average, Finland, FIN
66.8016, 1994, Oct Average, Finland, FIN
35.314, 1994, Nov Average, Finland, FIN
43.2623, 1994, Dec Average, Finland, FIN
33.0128, 1995, Jan Average, Finland, FIN
46.8664, 1995, Feb Average, Finland, FIN
35.9416, 1995, Mar Average, Finland, FIN
29.0975, 1995, Apr Average, Finland, FIN
48.203, 1995, May Average, Finland, FIN
58.2075, 1995, Jun Average, Finland, FIN
52.4208, 1995, Jul Average, Finland, FIN
66.4689, 1995, Aug Average, Finland, FIN
39.3133, 1995, Sep Average, Finland, FIN
71.0196, 1995, Oct Average, Finland, FIN
46.5945, 1995, Nov Average, Finland, FIN
15.1976, 1995, Dec Average, Finland, FIN
10.9647, 1996, Jan Average, Finland, FIN
24.5934, 1996, Feb Average, Finland, FIN
16.5212, 1996, Mar Average, Finland, FIN
30.8568, 1996, Apr Average, Finland, FIN
51.0724, 1996, May Average, Finland, FIN
65.4316, 1996, Jun Average, Finland, FIN
85.3413, 1996, Jul Average, Finland, FIN
31.7095, 1996, Aug Average, Finland, FIN
23.5098, 1996, Sep Average, Finland, FIN
52.9782, 1996, Oct Average, Finland, FIN
87.4002, 1996, Nov Average, Finland, FIN
39.9285, 1996, Dec Average, Finland, FIN
33.4671, 1997, Jan Average, Finland, FIN
40.9791, 1997, Feb Average, Finland, FIN
35.2895, 1997, Mar Average, Finland, FIN
36.7234, 1997, Apr Average, Finland, FIN
27.5837, 1997, May Average, Finland, FIN
39.7509, 1997, Jun Average, Finland, FIN
56.8405, 1997, Jul Average, Finland, FIN
38.5251, 1997, Aug Average, Finland, FIN
71.4799, 1997, Sep Average, Finland, FIN
39.7361, 1997, Oct Average, Finland, FIN
37.4134, 1997, Nov Average, Finland, FIN
29.1606, 1997, Dec Average, Finland, FIN
50.2401, 1998, Jan Average, Finland, FIN
46.1199, 1998, Feb Average, Finland, FIN
25.4465, 1998, Mar Average, Finland, FIN
16.5543, 1998, Apr Average, Finland, FIN
49.5381, 1998, May Average, Finland, FIN
90.8219, 1998, Jun Average, Finland, FIN
102.619, 1998, Jul Average, Finland, FIN
90.8908, 1998, Aug Average, Finland, FIN
41.798, 1998, Sep Average, Finland, FIN
86.8856, 1998, Oct Average, Finland, FIN
24.9449, 1998, Nov Average, Finland, FIN
35.9803, 1998, Dec Average, Finland, FIN
36.1693, 1999, Jan Average, Finland, FIN
35.9435, 1999, Feb Average, Finland, FIN
27.0209, 1999, Mar Average, Finland, FIN
25.6484, 1999, Apr Average, Finland, FIN
23.9811, 1999, May Average, Finland, FIN
47.8784, 1999, Jun Average, Finland, FIN
74.3312, 1999, Jul Average, Finland, FIN
58.4025, 1999, Aug Average, Finland, FIN
32.8269, 1999, Sep Average, Finland, FIN
69.6849, 1999, Oct Average, Finland, FIN
50.2748, 1999, Nov Average, Finland, FIN
55.8392, 1999, Dec Average, Finland, FIN
43.3927, 2000, Jan Average, Finland, FIN
36.284, 2000, Feb Average, Finland, FIN
36.4822, 2000, Mar Average, Finland, FIN
42.5845, 2000, Apr Average, Finland, FIN
32.8334, 2000, May Average, Finland, FIN
75.5845, 2000, Jun Average, Finland, FIN
79.9033, 2000, Jul Average, Finland, FIN
68.9173, 2000, Aug Average, Finland, FIN
27.3753, 2000, Sep Average, Finland, FIN
56.4709, 2000, Oct Average, Finland, FIN
62.5671, 2000, Nov Average, Finland, FIN
45.947, 2000, Dec Average, Finland, FIN
26.4144, 2001, Jan Average, Finland, FIN
36.862, 2001, Feb Average, Finland, FIN
24.9071, 2001, Mar Average, Finland, FIN
48.9304, 2001, Apr Average, Finland, FIN
37.7128, 2001, May Average, Finland, FIN
52.1017, 2001, Jun Average, Finland, FIN
89.4567, 2001, Jul Average, Finland, FIN
56.8886, 2001, Aug Average, Finland, FIN
61.4019, 2001, Sep Average, Finland, FIN
60.3209, 2001, Oct Average, Finland, FIN
36.7141, 2001, Nov Average, Finland, FIN
19.5004, 2001, Dec Average, Finland, FIN
46.9282, 2002, Jan Average, Finland, FIN
43.7857, 2002, Feb Average, Finland, FIN
28.5657, 2002, Mar Average, Finland, FIN
12.9737, 2002, Apr Average, Finland, FIN
29.2891, 2002, May Average, Finland, FIN
69.5848, 2002, Jun Average, Finland, FIN
95.3822, 2002, Jul Average, Finland, FIN
33.9959, 2002, Aug Average, Finland, FIN
38.8114, 2002, Sep Average, Finland, FIN
22.4987, 2002, Oct Average, Finland, FIN
31.5883, 2002, Nov Average, Finland, FIN
19.6389, 2002, Dec Average, Finland, FIN
44.1378, 2003, Jan Average, Finland, FIN
14.1635, 2003, Feb Average, Finland, FIN
19.1294, 2003, Mar Average, Finland, FIN
18.1866, 2003, Apr Average, Finland, FIN
63.9058, 2003, May Average, Finland, FIN
32.6224, 2003, Jun Average, Finland, FIN
57.5815, 2003, Jul Average, Finland, FIN
77.4704, 2003, Aug Average, Finland, FIN
38.6216, 2003, Sep Average, Finland, FIN
61.9928, 2003, Oct Average, Finland, FIN
33.6173, 2003, Nov Average, Finland, FIN
47.1151, 2003, Dec Average, Finland, FIN
28.9778, 2004, Jan Average, Finland, FIN
36.5536, 2004, Feb Average, Finland, FIN
23.7716, 2004, Mar Average, Finland, FIN
10.1839, 2004, Apr Average, Finland, FIN
49.2105, 2004, May Average, Finland, FIN
64.7912, 2004, Jun Average, Finland, FIN
112.881, 2004, Jul Average, Finland, FIN
88.5031, 2004, Aug Average, Finland, FIN
86.7905, 2004, Sep Average, Finland, FIN
31.6296, 2004, Oct Average, Finland, FIN
36.7931, 2004, Nov Average, Finland, FIN
52.0661, 2004, Dec Average, Finland, FIN
57.4008, 2005, Jan Average, Finland, FIN
15.9037, 2005, Feb Average, Finland, FIN
9.43384, 2005, Mar Average, Finland, FIN
27.9185, 2005, Apr Average, Finland, FIN
62.5223, 2005, May Average, Finland, FIN
51.858, 2005, Jun Average, Finland, FIN
84.4173, 2005, Jul Average, Finland, FIN
91.1018, 2005, Aug Average, Finland, FIN
51.9797, 2005, Sep Average, Finland, FIN
33.6792, 2005, Oct Average, Finland, FIN
67.3615, 2005, Nov Average, Finland, FIN
40.621, 2005, Dec Average, Finland, FIN
24.9358, 2006, Jan Average, Finland, FIN
16.4779, 2006, Feb Average, Finland, FIN
21.9435, 2006, Mar Average, Finland, FIN
31.2825, 2006, Apr Average, Finland, FIN
49.257, 2006, May Average, Finland, FIN
29.8077, 2006, Jun Average, Finland, FIN
33.3851, 2006, Jul Average, Finland, FIN
27.2621, 2006, Aug Average, Finland, FIN
51.4346, 2006, Sep Average, Finland, FIN
84.2122, 2006, Oct Average, Finland, FIN
49.7357, 2006, Nov Average, Finland, FIN
59.1525, 2006, Dec Average, Finland, FIN
54.5658, 2007, Jan Average, Finland, FIN
17.2733, 2007, Feb Average, Finland, FIN
29.1893, 2007, Mar Average, Finland, FIN
28.3204, 2007, Apr Average, Finland, FIN
53.3668, 2007, May Average, Finland, FIN
48.1354, 2007, Jun Average, Finland, FIN
106.035, 2007, Jul Average, Finland, FIN
66.4194, 2007, Aug Average, Finland, FIN
63.9834, 2007, Sep Average, Finland, FIN
44.7619, 2007, Oct Average, Finland, FIN
45.206, 2007, Nov Average, Finland, FIN
47.052, 2007, Dec Average, Finland, FIN
54.1358, 2008, Jan Average, Finland, FIN
36.2764, 2008, Feb Average, Finland, FIN
38.6786, 2008, Mar Average, Finland, FIN
35.6078, 2008, Apr Average, Finland, FIN
23.5022, 2008, May Average, Finland, FIN
82.8241, 2008, Jun Average, Finland, FIN
72.2101, 2008, Jul Average, Finland, FIN
90.9904, 2008, Aug Average, Finland, FIN
32.4014, 2008, Sep Average, Finland, FIN
88.7138, 2008, Oct Average, Finland, FIN
59.2335, 2008, Nov Average, Finland, FIN
37.1325, 2008, Dec Average, Finland, FIN
22.6566, 2009, Jan Average, Finland, FIN
25.1087, 2009, Feb Average, Finland, FIN
17.8654, 2009, Mar Average, Finland, FIN
16.1906, 2009, Apr Average, Finland, FIN
44.9637, 2009, May Average, Finland, FIN
52.3006, 2009, Jun Average, Finland, FIN
78.66, 2009, Jul Average, Finland, FIN
72.628, 2009, Aug Average, Finland, FIN
51.7931, 2009, Sep Average, Finland, FIN
47.3072, 2009, Oct Average, Finland, FIN
50.8365, 2009, Nov Average, Finland, FIN
31.0627, 2009, Dec Average, Finland, FIN
16.7578, 2010, Jan Average, Finland, FIN
36.923, 2010, Feb Average, Finland, FIN
41.5896, 2010, Mar Average, Finland, FIN
28.3976, 2010, Apr Average, Finland, FIN
56.4686, 2010, May Average, Finland, FIN
52.9767, 2010, Jun Average, Finland, FIN
73.0522, 2010, Jul Average, Finland, FIN
66.6642, 2010, Aug Average, Finland, FIN
59.7643, 2010, Sep Average, Finland, FIN
43.805, 2010, Oct Average, Finland, FIN
34.0125, 2010, Nov Average, Finland, FIN
24.5759, 2010, Dec Average, Finland, FIN
43.2354, 2011, Jan Average, Finland, FIN
19.6985, 2011, Feb Average, Finland, FIN
21.5872, 2011, Mar Average, Finland, FIN
19.7375, 2011, Apr Average, Finland, FIN
48.9123, 2011, May Average, Finland, FIN
72.9274, 2011, Jun Average, Finland, FIN
70.8248, 2011, Jul Average, Finland, FIN
65.7915, 2011, Aug Average, Finland, FIN
78.9909, 2011, Sep Average, Finland, FIN
60.21, 2011, Oct Average, Finland, FIN
33.5687, 2011, Nov Average, Finland, FIN
74.9531, 2011, Dec Average, Finland, FIN
43.3921, 2012, Jan Average, Finland, FIN
35.5111, 2012, Feb Average, Finland, FIN
28.7861, 2012, Mar Average, Finland, FIN
45.0641, 2012, Apr Average, Finland, FIN
47.3254, 2012, May Average, Finland, FIN
80.5025, 2012, Jun Average, Finland, FIN
84.2757, 2012, Jul Average, Finland, FIN
48.6681, 2012, Aug Average, Finland, FIN
93.0481, 2012, Sep Average, Finland, FIN
72.7232, 2012, Oct Average, Finland, FIN
52.2446, 2012, Nov Average, Finland, FIN
45.1653, 2012, Dec Average, Finland, FIN
34.4374, 2013, Jan Average, Finland, FIN
24.1933, 2013, Feb Average, Finland, FIN
14.5948, 2013, Mar Average, Finland, FIN
31.233, 2013, Apr Average, Finland, FIN
21.7079, 2013, May Average, Finland, FIN
69.0681, 2013, Jun Average, Finland, FIN
57.8459, 2013, Jul Average, Finland, FIN
60.75, 2013, Aug Average, Finland, FIN
29.0345, 2013, Sep Average, Finland, FIN
59.5581, 2013, Oct Average, Finland, FIN
52.0811, 2013, Nov Average, Finland, FIN
55.167, 2013, Dec Average, Finland, FIN
24.2712, 2014, Jan Average, Finland, FIN
27.253, 2014, Feb Average, Finland, FIN
28.7824, 2014, Mar Average, Finland, FIN
18.3748, 2014, Apr Average, Finland, FIN
61.5845, 2014, May Average, Finland, FIN
53.3619, 2014, Jun Average, Finland, FIN
58.2545, 2014, Jul Average, Finland, FIN
77.2689, 2014, Aug Average, Finland, FIN
42.1466, 2014, Sep Average, Finland, FIN
39.4615, 2014, Oct Average, Finland, FIN
34.1124, 2014, Nov Average, Finland, FIN
54.6044, 2014, Dec Average, Finland, FIN
51.4167, 2015, Jan Average, Finland, FIN
31.1955, 2015, Feb Average, Finland, FIN
35.8784, 2015, Mar Average, Finland, FIN
31.0606, 2015, Apr Average, Finland, FIN
60.3226, 2015, May Average, Finland, FIN
70.4931, 2015, Jun Average, Finland, FIN
70.0336, 2015, Jul Average, Finland, FIN
54.0284, 2015, Aug Average, Finland, FIN
52.1593, 2015, Sep Average, Finland, FIN
26.8272, 2015, Oct Average, Finland, FIN
61.1553, 2015, Nov Average, Finland, FIN
55.7898, 2015, Dec Average, Finland, FIN
34.1893, 2016, Jan Average, Finland, FIN
55.5438, 2016, Feb Average, Finland, FIN
13.9103, 2016, Mar Average, Finland, FIN
44.1742, 2016, Apr Average, Finland, FIN
29.5091, 2016, May Average, Finland, FIN
82.2882, 2016, Jun Average, Finland, FIN
94.9617, 2016, Jul Average, Finland, FIN
105.923, 2016, Aug Average, Finland, FIN
46.9843, 2016, Sep Average, Finland, FIN
17.6608, 2016, Oct Average, Finland, FIN
54.3342, 2016, Nov Average, Finland, FIN
45.2393, 2016, Dec Average, Finland, FIN
50.2313, 1991, Jan Average, Greece, GRC
66.9515, 1991, Feb Average, Greece, GRC
54.3124, 1991, Mar Average, Greece, GRC
89.916, 1991, Apr Average, Greece, GRC
69.1359, 1991, May Average, Greece, GRC
12.0175, 1991, Jun Average, Greece, GRC
42.7074, 1991, Jul Average, Greece, GRC
33.5849, 1991, Aug Average, Greece, GRC
